id,name
2610/11_min_1,Minister of Defence
2610/11_min_2,Minister of Mahaweli Development & Environment
2610/11_min_3,Minister of National Integration & Reconciliation
2610/11_min_4,Minister of National Policies & Economic Affairs
2610/11_min_5,Minister of Tourism Development & Christian Religious Affairs
2610/11_min_6,Minister of Sustainable Development & Wildlife
2610/11_min_7,Minister of Transport
2610/11_min_8,Minister of Foreign Affairs
2610/11_min_9,Minister of Social Empowerment & Welfare
2610/11_min_10,Minister of Labour & Trade Union Relations
2610/11_min_11,Minister of University Education and Highways
2610/11_min_12,Minister of City Planning & Water Supply
2610/11_min_13,Minister of Disaster Management
2610/11_min_14,"Minister of Science, Technology & Research"
2610/11_min_15,Minister of Law & Order and Prison Reforms
2610/11_min_16,"Minister of Health, Nutrition & Indigenous Medicine"
2610/11_min_17,Minister of Finance
2610/11_min_18,Minister of Skills Development and Vocational Training
2610/11_min_19,Minister of Home Affairs
2610/11_min_20,"Minister of Internal Affairs, Waymba Development & Cultural Affairs"
2610/11_min_21,Minister of Industry & Commerce
2610/11_min_22,Minister of Megapolis & Western Development
2610/11_min_23,Minister of Fisheries & Aquatic Resources Development
2610/11_min_24,Minister of Plantation Industries
2610/11_min_25,Minister of Power & Renewable Energy
2610/11_min_26,Minister of Agriculture
2610/11_min_27,Minister of Buddhasasana
2610/11_min_28,Minister of Justice
2610/11_min_29,Minister of Rural Economic Affairs
2610/11_min_30,Minister of Public Enterprise Development
2610/11_min_31,Minister of Public Administration & Management
2610/11_min_32,Minister of Parliamentary Reforms and Mass Media
2610/11_min_33,Minister of Housing & Construction
2610/11_min_34,Minister of Ports & Shipping
2610/11_min_35,Minister of Lands
2610/11_min_36,"Minister of Hill Country New Villages, Infrastructure & Community Development"
2610/11_min_37,Minister of Women & Child Affairs
2610/11_min_38,Minister of Foreign Employment
2610/11_min_39,Minister of Education
2610/11_min_40,"Minister of Post, Postal Services & Muslim Religious Affairs"
2610/11_min_41,"Minister of Rehabilitation, Resettlement & Hindu Religious Affairs"
2610/11_min_42,Minister of Petroleum Resources Development
2610/11_min_43,Minister of Sports
2610/11_min_44,Minister of Southern Development
2610/11_min_45,Minister of Telecommunication & Digital Infrastructure
2610/11_min_46,Minister of National Dialogue
2610/11_min_47,Minister of Primary Industries
2610/11_min_48,Minister of Irrigation & Water Resources Management
2610/11_min_49,Minister of Provincial Councils & Local Government
2610/11_min_50,Minister of Development Strategies & International Trade
